Payee
PLANET ORGANIC EDMONTO 
BURGER KING 
WAL-MART 
CDN TIRE STORE 
KOODO MOBILE PAC 
MINI APNA PUNJAB FOODS 
DOLLARAMA 429 
SS EDMONTON 
SUNG LEE TRADITIONAL M 
COSTCO WHOLESALE W156 
SHOPPERSDRUGMART0346 
SOBEYS LIQUOR 
MCDONALD'S 
SHOPPERS DRUG MART 
COSTCO GAS W156 
GLASSY LIQUOR 34 
KATHIR FOOD EXPERIENCE 
COSTCO WHOLESALE W258 
NEW ASIAN VILLAGE 17 S 
KFC/TACO BELL 
COSTCO GAS W258 
AUTOMATIC PAYMENT RECEIVED - THANK YOU
MILLWOODS AUTO CENTRE 
